"GSE121239_rho"	"GSE49454_rho"	"GSE65391_rho"	"GSE121239_CS"	"GSE49454_CS"	"GSE65391_CS"
"IFN_SLE_Bennett (26)"	0.34	0.2	0.48	0.51	0.44	0.45
"IFN_Chaussabel_M5_12 (58)"	0.32	0.21	0.47	0.35	0.36	0.36
"IFN_Chaussabel_M3_4 (59)"	0.34	0.14	0.5	0.52	0.5	0.54
"IFN_I_Aybey (20)"	0.32	0.19	0.46	0.71	0.58	0.55
"IFN_Walsh (6)"	0.32	0.16	0.45	0.93	0.94	0.91
"IFN_Chaussabel_M1_2 (32)"	0.32	0.11	0.45	0.79	0.62	0.64
"IFNa_Hallmark (97)"	0.31	0.11	0.46	0.35	0.31	0.31
"IFN_Rice (4)"	0.3	0.17	0.43	0.92	0.8	0.62
"IFN_Bilgic (3)"	0.31	0.16	0.42	0.76	0.39	0.13
"IFN_Feng (5)"	0.3	0.11	0.44	0.92	0.78	0.72
"IFN_MB_Staub (10)"	0.31	0.08	0.42	0.78	0.64	0.63
"IFNg_Hallmark (200)"	0.25	0.05	0.43	0.13	0.14	0.15
"IFNg_Dummer (5)"	0.09	-0.12	0.21	0.29	0.06	0.11
"IFNg_Waddell (10)"	-0.02	0.11	0.12	0.12	0.07	0.09
"IFNg_Azizi_Platanias (11)"	-0.01	-0.14	0.15	0.07	0.04	0.07
"IFN_II_Aybey (6)"	-0.12	-0.09	0.15	0.16	0.13	0.14
"IFNg_Ayers (6)"	0.06	-0.19	0.09	0.22	0.17	0.15
"IFNg_Ayers_extended (10)"	0.01	-0.21	0.06	0.25	0.13	0.12
"IFNg_Sharma (25)"	-0.11	-0.27	0.03	0.17	0.18	0.18
