"signature"	"rho"	"cscore"	"no_genes"
"IFN_Chaussabel_M3_4"	0.5	0.54	59
"IFN_SLE_Bennett"	0.48	0.45	26
"IFN_Chaussabel_M5_12"	0.47	0.36	58
"IFN_I_Aybey"	0.46	0.55	20
"IFNa_Hallmark"	0.46	0.31	97
"IFN_Walsh"	0.45	0.91	6
"IFN_Chaussabel_M1_2"	0.45	0.64	32
"IFN_Feng"	0.44	0.72	5
"IFNg_Hallmark"	0.43	0.15	200
"IFN_Rice"	0.43	0.62	4
"IFN_Bilgic"	0.42	0.13	3
"IFN_MB_Staub"	0.42	0.63	10
"IFNg_Dummer"	0.21	0.11	5
"IFN_II_Aybey"	0.15	0.14	6
"IFNg_Azizi_Platanias"	0.15	0.07	11
"IFNg_Waddell"	0.12	0.09	10
"IFNg_Ayers"	0.09	0.15	6
"IFNg_Ayers_extended"	0.06	0.12	10
"IFNg_Sharma"	0.03	0.18	25
