"Signature","IMvigor210","Kim","VanAllen","Mean_AUC"
"IFNg_Ayers",0.64,0.8,0.7,0.71
"IFNg_Ayers_extended",0.63,0.77,0.72,0.71
"IFNg_Dummer",0.67,0.79,0.66,0.7
"IFNg_Azizi_Platanias",0.64,0.78,0.69,0.7
"IFN_II_Aybey",0.62,0.77,0.7,0.7
"IFNg_Waddell",0.64,0.72,0.72,0.69
"IFNg_Sharma",0.6,0.74,0.73,0.69
"IFN_Chaussabel_M3_4",0.57,0.78,0.66,0.67
"IFNa_Hallmark",0.57,0.75,0.65,0.66
"IFNg_Hallmark",0.57,0.75,0.66,0.66
"IFN_Chaussabel_M5_12",0.57,0.72,0.62,0.63
"IFN_MB_Staub",0.58,0.66,0.62,0.62
"IFN_SLE_Bennett",0.58,0.69,0.6,0.62
"IFN_Rice",0.55,0.7,0.61,0.62
"IFN_Chaussabel_M1_2",0.58,0.68,0.57,0.61
"IFN_I_Aybey",0.58,0.6,0.59,0.59
"IFN_Feng",0.55,0.65,0.55,0.59
"IFN_Walsh",0.58,0.62,0.53,0.58
"IFN_Bilgic",0.51,0.63,0.53,0.56
