Genes	CTRL_1	CTRL_2	IFNG_1	IFNG_2	POMALYST_1	POMALYST_2	POMIFNG_1	POMIFNG_2
A1BG	5.80595	3.9361	6.46242	7.25447	6.21037	7.30242	7.05791	12.8665
A1BG-AS1	3.93722	3.82774	3.64038	4.26878	6.38773	4.4139	5.59019	6.52513
A1CF	0	0	0	0	0	0.00847293	0.00493389	0
A2M	18.0852	13.9096	335.984	239.395	20.039	15.2327	24.154	17.0805
A2M-AS1	0.0204422	0	0.043368	0	0.0224707	0	0	0
A2ML1	0	0	0	0.0254789	0	0	0	0
A2MP1	0	0	0	0	0	0	0	0
A4GALT	0.386707	0.575584	0.36462	0.413677	1.67671	1.39846	1.62975	1.92802
A4GNT	0	0.0248313	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0
AAAS	32.917	40.7697	38.1702	40.3158	29.8794	39.6676	32.2102	34.9326
AACS	10.1649	11.1759	10.5214	11.3668	11.0739	12.9409	12.7699	11.7912
AACSP1	0.0205893	0	0	0	0.0226324	0	0	0
AADAC	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0
AADAT	4.0422	2.64041	5.00334	4.64844	2.64379	3.30962	2.53405	2.05566
AAED1	5.66178	5.68639	6.51683	6.95869	2.95732	4.03602	4.0316	4.08408
AAGAB	22.5417	22.7584	26.6403	26.1325	26.5936	23.6842	26.3239	32.4407
AAK1	3.57031	2.42142	3.18528	2.68088	4.49602	2.5118	3.73444	2.76608
AAMDC	13.3228	11.2237	17.0507	16.8946	23.5592	16.0804	23.7481	32.057
AAMP	62.6361	75.3324	72.7648	70.9459	69.4704	77.9371	79.0098	84.0115
AANAT	0	0	0.0532066	0.0568141	0.0261234	0	0	0.0600199
AAR2	37.331	42.7553	41.8091	39.7861	35.4679	42.3744	39.8411	44.1044
AARD	0.128508	0.0983695	0.0272628	0.0873339	0.0847559	0.0492063	0.0573444	0.338294
AARS	35.1797	34.0058	33.4309	30.573	29.1336	32.1627	30.7715	29.1145
AARS2	24.2837	26.6356	20.6649	21.1097	24.5665	26.9672	24.2549	22.2587
AARSD1	8.49371	10.7305	8.29943	9.35408	6.66349	8.80548	8.8845	9.06681
AASDH	2.06687	0.988835	1.95024	1.66053	1.95495	1.25384	1.63548	1.50979
AASDHPPT	40.9622	33.693	32.8985	26.3425	36.2323	27.3593	32.4442	33.0707
AASS	4.08852	3.53173	3.53124	3.46516	5.90647	3.32943	4.20474	3.5078
AATF	52.5643	73.7512	54.2252	58.3286	39.7398	60.2772	46.7297	52.8779
AATK	0.378978	0.591317	0.419537	0.569312	0.244551	0.496924	0.321726	0.325366
AATK-AS1	0	0	0	0	0	0	0	0
ABAT	0.148472	0.250705	0.194553	0.187954	0.230409	0.242458	0.272814	0.282166
ABCA1	1.12287	0.484975	0.835407	0.410696	3.11144	1.18684	2.19214	1.03569
ABCA10	0.0262527	0.0125598	0	0.0150313	0.0216433	0.0125653	0.0219653	0
ABCA11P	3.45912	2.78118	2.28053	2.36714	3.4591	2.92037	1.87587	2.70192
ABCA12	0	0	0	0	0	0	0	0
ABCA13	0.600061	0.314208	0.623983	0.476304	0.438872	0.246501	0.324167	0.237456
ABCA17P	0.0202287	0.0290335	0.0214575	0.0114562	0.011118	0.0193641	0.0112834	0.0484104
ABCA2	5.20536	4.85982	5.0927	4.65378	3.86089	4.38784	3.5124	2.37658
ABCA3	0.0187906	0	0.019932	0.014189	0.0688506	0.0239833	0.0628872	0.0524636
ABCA4	0.0338641	0.0648053	0.0538818	0.0575351	0.0496327	0.0486252	0.06926	0.0675351
ABCA5	1.01815	0.698966	0.887048	0.667377	1.32134	0.703998	0.815153	0.765619
ABCA6	0.00790335	0.00756227	0.117368	0.0447593	0	0.00756557	0.0264505	0.018914
ABCA7	1.45269	1.12828	1.67633	2.11356	3.4743	2.147	2.56311	1.73098
ABCA8	0.0437595	0.0348925	0.100572	0.0991299	0.0721528	0.104723	0.0813622	0.0610887
ABCA9	0.184676	0.100975	0.286846	0.171824	0.0797508	0.0315685	0.0441475	0.0315686
ABCB1	0.0535475	0.0426971	0.0473336	0.0303257	0.117722	0.0939748	0.17921	0.160185
ABCB10	8.77418	8.14207	5.4204	5.15038	8.57725	7.41664	7.63366	5.34855
ABCB11	0	0	0.0186878	0.0299323	0	0	0	0
ABCB4	1.17729	1.05594	1.60885	1.48044	0.825944	0.769703	0.672407	0.892442
ABCB5	23.3016	19.9766	10.2045	10.4946	7.35683	8.30382	6.05577	6.61282
ABCB6	15.6899	14.8479	16.7952	17.7714	14.5486	16.2835	16.4464	14.8235
ABCB7	9.35539	8.66017	8.40781	7.63783	10.4944	8.24781	9.66641	11.2014
ABCB8	15.8596	18.3925	22.3639	24.4403	18.56	20.2854	20.4107	20.5587
ABCB9	4.15731	5.04056	4.67438	5.3652	6.7457	7.0649	7.22065	7.92218
ABCC1	21.6304	18.1438	16.8277	15.0753	17.9456	19.2291	15.8213	12.9223
ABCC10	8.55755	8.79902	9.24797	9.34353	9.9357	9.51524	9.72428	7.31151
ABCC11	0.0283762	0.0180999	0.130445	0.0964302	0.0415906	0.0996082	0.0513817	0.0565933
ABCC12	0	0	0	0	0	0	0	0
ABCC13	0	0	0	0	0	0	0	0
ABCC2	12.6316	8.4311	10.6328	9.82043	9.44838	7.47285	8.6254	6.47913
ABCC3	0	0.00776133	0.0256345	0	0	0	0.0269597	0.00970592
ABCC4	7.55443	6.05948	5.76557	5.02287	5.91945	5.56534	4.85148	4.12407
ABCC5	17.7419	13.4848	14.1768	13.1338	20.4288	16.4858	17.0387	13.712
ABCC5-AS1	0	0	0	0	0	0	0	0
ABCC6	0.0803045	0	0.727632	0.379204	0.647984	0.482197	0.410043	0.488498
ABCC6P1	0.0160453	0	0	0.018174	0.0176375	0.0153596	0.0178999	0
ABCC6P2	0.585873	0.480505	0.710242	0.663599	0.368006	0.240357	0.37348	0.600894
ABCC8	0	0	0	0	0	0	0	0
ABCC9	0.0450261	0.0172556	0	0	0.0108772	0.0172632	0.0201183	0
ABCD1	63.2134	86.919	72.2711	84.0633	68.8967	89.7577	76.2284	70.3116
ABCD2	0.0156676	0	0	0.0177462	0.0430558	0.007499	0.0436962	0.0281213
ABCD3	18.5767	15.138	15.1139	14.1309	18.2257	13.5915	16.3454	16.5627
ABCD4	3.70867	2.91462	4.01926	4.08555	4.34977	4.20176	4.19504	4.29227
ABCE1	37.793	34.3363	26.6538	24.3422	27.7213	23.8118	23.5032	25.0518
ABCF1	101.577	114.542	107.077	100.473	78.7185	108.669	100.946	95.0051
ABCF2	48.5726	48.7789	41.2863	39.4928	36.8657	46.5435	37.6571	41.3116
ABCF3	33.2997	39.4644	38.0591	38.6463	40.2475	42.1313	42.5616	42.115
ABCG1	0.267483	0.252566	0.386554	0.302969	1.14556	0.440985	1.40317	1.14342
ABCG2	0.522624	0.508483	0.283042	0.474933	0.607569	0.7963	0.542544	0.775411
ABCG4	0.333125	0.351172	0.376747	0.46934	0.219709	0.124663	0.222974	0.127496
ABCG5	0.573953	0.305102	0.32132	0.180583	0.157727	0.183141	0.177859	0.248004
ABCG8	0	0	0	0.0558416	0	0	0.0366662	0
