"",gene_symbol,GSM1936737,GSM1936738,GSM1936739,GSM1936740,GSM1936741,GSM1936742,GSM1936743,GSM1936744,GSM1936745,GSM1936746,GSM1936747,GSM1936748,GSM1936749,GSM1936750,GSM1936751,GSM1936752,GSM1936753,GSM1936754
ENSG00000000003,TSPAN6,1738.0206,1498.9191,1618.6043,3028.5276,1326.2109,1164.3132,1232.3829,1312.3322,1028.7322,1050.7578,1043.1495,1004.1059,1266.5552,1340.4307,2182.0228,2467.926,1242.0465,1198.0438
ENSG00000000005,TNMD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000419,DPM1,905.122,795.4849,928.3607,1678.4634,931.8584,844.3742,1068.4249,1052.2028,980.1909,1069.4599,980.392,963.1766,935.3216,1057.9454,1967.934,2194.8936,1054.0014,1125.5863
ENSG00000000457,SCYL3,300.0993,252.4568,388.072,789.8356,536.6522,487.2592,300.2469,293.1071,378.16,319.7256,344.1581,356.3125,296.7478,394.7462,708.3113,860.5383,514.5735,515.4728
ENSG00000000460,C1orf112,315.2541,376.1671,192.8101,419.9576,217.6358,270.324,658.9817,677.1155,427.4986,412.7361,432.0151,474.966,286.4471,365.2764,424.774,544.2635,215.9737,249.903
ENSG00000000938,FGR,0,0,9.6943,32.5894,10.5735,7.0167,0,0,7.7382,10.3751,7.8166,3.3618,3.932,4.0031,25.5049,32.7574,5.0691,5.9589
ENSG00000000971,CFH,2795.9854,2585.8837,9700.1269,18388.5801,7275.5416,7011.0812,2580.4268,2719.0269,8855.0601,8518.3922,6310.7289,6156.3899,1761.1911,2085.6405,16578.0312,20417.739,6585.5012,6980.0884
ENSG00000001036,FUCA2,3680.0655,3434.1602,4302.1283,8415.9034,3457.4828,3290.575,4882.5708,4819.0217,5822.9756,5898.3874,4203.1323,4535.7888,4725.4835,4806.367,11610.454,13282.483,4677.6077,4963.0373
ENSG00000001084,GCLC,2456.4481,2871.901,3156.419,5992.6964,2227.2108,2325.9064,2229.139,2687.4099,2725.3613,2458.5614,2085.2615,2107.6646,2156.4741,2430.4878,3650.2989,4161.4174,2608.0907,2685.422
ENSG00000001167,NFYA,1217.598,1160.553,799.7997,1553.7766,1188.4802,1076.6451,1486.8466,1414.0008,967.0738,959.5882,1233.0802,1157.8273,1269.1335,1444.8397,1753.5433,2245.2309,1206.7775,1392.6564
ENSG00000001460,STPG1,336.4652,266.6645,172.4323,430.1887,198.0555,199.0016,570.8072,565.2871,582.345,568.8332,389.3271,430.3401,500.5477,593.777,806.074,978.6212,295.72,360.2748
ENSG00000001461,NIPAL3,3066.0205,3017.5981,2119.9821,4285.3662,1958.1879,2024.6803,5833.2095,5974.2323,5239.7146,4566.3918,4183.0739,4269.193,5436.0998,6651.4616,7694.8825,8692.9502,4071.9614,4297.1608
ENSG00000001497,LAS1L,813.4141,919.965,774.4615,1441.4693,799.2818,710.5646,1210.7652,1225.7547,976.2979,1087.5884,958.2103,1072.9653,954.8587,998.5956,1623.4317,1821.3759,825.8547,821.1754
ENSG00000001561,ENPP4,11.0786,15.1753,6.908,17.9606,17.1206,16.0564,43.9648,33.2215,18.8455,17.9552,24.0365,24.7951,22.8405,24.0825,61.2533,75.6089,17.9112,26.9788
ENSG00000001617,SEMA3F,1022.9261,859.1893,1080.8574,2100.0809,896.6701,848.9131,1079.4851,1300.7704,1582.0364,1392.7714,1072.5726,995.9557,1730.6413,1612.4451,4458.6889,4609.6704,1230.2643,1350.0193
ENSG00000001626,CFTR,130.068,138.4406,70.444,147.8318,9.91,25.6379,132.4764,115.078,132.9868,22.3883,80.5596,81.3011,218.0772,180.2192,233.037,256.3183,167.1078,138.7113
ENSG00000001629,ANKIB1,3279.7015,2854.6794,5991.9285,12168.8215,6535.7813,6408.8105,2771.4648,2801.8255,5689.1362,5154.244,5520.5409,5581.782,2947.3697,3285.6335,9919.4293,12973.3582,6609.4506,6748.4508
ENSG00000001630,CYP51A1,1822.3823,1518.3904,2684.3248,5659.8039,1376.7625,1471.7139,2132.976,2298.5772,3219.2612,3091.4436,1513.0971,1656.5753,2187.1119,2631.9042,6004.386,7183.3945,2561.2908,2737.3109
ENSG00000001631,KRIT1,992.2665,780.494,758.543,1634.0217,1010.3649,939.2827,780.2523,870.2917,843.3984,789.131,971.6031,935.7234,1027.3829,1031.8644,1724.8515,1988.1337,1267.0796,1339.5454
ENSG00000002016,RAD52,220.1588,139.7816,94.0647,242.5624,250.8363,184.9442,204.3835,156.7608,190.4488,130.6675,214.2838,182.2508,213.454,244.2925,188.0163,290.5338,266.2364,239.6464
ENSG00000002330,BAD,770.6157,723.4833,462.598,852.2341,589.0598,550.3032,819.9406,705.1191,537.793,587.2915,595.6177,613.6347,1388.5718,1215.898,1346.7157,1224.558,789.4764,858.9117
ENSG00000002549,LAP3,1749.8771,1629.5839,20866.6389,39883.5947,18562.4011,18141.5305,1960.5895,2013.4934,23346.6872,24170.3637,14110.3711,14013.6802,1847.3173,2025.6701,43990.1013,49231.0889,16385.4401,17624.2059
ENSG00000002586,CD99,13565.9439,12558.9056,11762.3623,22657.2434,12475.1224,12359.1601,14491.7275,14043.73,16607.1458,16890.8885,13691.8998,14392.4669,15013.3985,14972.0127,27355.3037,29759.5757,13082.7614,13555.6534
ENSG00000002587,HS3ST1,4.0324,14.7028,6.3752,7.2539,7.3129,4.5811,8.1578,9.182,15.2902,7.5941,5.5661,20.625,14.4011,10.994,62.2675,21.6621,7.2997,20.3227
ENSG00000002726,AOC1,3.232,4.7022,3.1236,5.0769,2.5242,1.2745,3.3409,0,0,0,0,5.1361,0.9869,0,9.5869,4.3004,1.9236,9.4467
