nGene	Stim	Dose	Stim_Dose	TotalAlignedReads
COVID_BasalStim_Human1334_B01_S13	18034	IFNA	0.1	IFNA_0.1	4316415
COVID_BasalStim_Human1334_B02_S14	18168	IFNA	0.1	IFNA_0.1	5226464
COVID_BasalStim_Human1334_B03_S15	18596	IFNA	0.1	IFNA_0.1	8094873
COVID_BasalStim_Human1334_B04_S16	17571	IFNA	1	IFNA_1	3877366
COVID_BasalStim_Human1334_B05_S17	17888	IFNA	1	IFNA_1	4716696
COVID_BasalStim_Human1334_B06_S18	17991	IFNA	1	IFNA_1	4966372
COVID_BasalStim_Human1334_B07_S19	17367	IFNA	5	IFNA_5	3832074
COVID_BasalStim_Human1334_B08_S20	17550	IFNA	5	IFNA_5	3964556
COVID_BasalStim_Human1334_B09_S21	17437	IFNA	5	IFNA_5	3991700
COVID_BasalStim_Human1334_B10_S22	16650	IFNA	10	IFNA_10	2509216
COVID_BasalStim_Human1334_B11_S23	17506	IFNA	10	IFNA_10	3618531
COVID_BasalStim_Human1334_B12_S24	17170	IFNA	10	IFNA_10	3038118
COVID_BasalStim_Human1334_C01_S25	17931	IFNA	0.5	IFNA_0.5	4721504
COVID_BasalStim_Human1334_C02_S26	17551	IFNA	0.5	IFNA_0.5	4835902
COVID_BasalStim_Human1334_C03_S27	18768	IFNA	0.5	IFNA_0.5	8990655
COVID_BasalStim_Human1334_C04_S28	18025	IFNA	2	IFNA_2	5909474
COVID_BasalStim_Human1334_C05_S29	17829	IFNA	2	IFNA_2	4589681
COVID_BasalStim_Human1334_C06_S30	18157	IFNA	2	IFNA_2	6174910
COVID_BasalStim_Human1334_C07_S31	17487	IFNG	0.5	IFNG_0.5	4207932
COVID_BasalStim_Human1334_C08_S32	17374	IFNG	0.5	IFNG_0.5	3772996
COVID_BasalStim_Human1334_C09_S33	17627	IFNG	0.5	IFNG_0.5	4299074
COVID_BasalStim_Human1334_C10_S34	17214	IFNG	2	IFNG_2	3231405
COVID_BasalStim_Human1334_C11_S35	17149	IFNG	2	IFNG_2	3287857
COVID_BasalStim_Human1334_C12_S36	10987	IFNG	2	IFNG_2	220563
COVID_BasalStim_Human1334_D01_S37	16979	IFNG	0.1	IFNG_0.1	2929881
COVID_BasalStim_Human1334_D02_S38	16405	IFNG	0.1	IFNG_0.1	2176514
COVID_BasalStim_Human1334_D03_S39	16453	IFNG	0.1	IFNG_0.1	2894766
COVID_BasalStim_Human1334_D04_S40	16884	IFNG	1	IFNG_1	3241010
COVID_BasalStim_Human1334_D05_S41	17249	IFNG	1	IFNG_1	4448535
COVID_BasalStim_Human1334_D06_S42	17862	IFNG	1	IFNG_1	5040440
COVID_BasalStim_Human1334_D07_S43	17021	IFNG	5	IFNG_5	3520204
COVID_BasalStim_Human1334_D08_S44	17065	IFNG	5	IFNG_5	4102539
COVID_BasalStim_Human1334_D09_S45	17099	IFNG	5	IFNG_5	3126669
COVID_BasalStim_Human1334_D10_S46	16432	IFNG	10	IFNG_10	2849823
COVID_BasalStim_Human1334_D11_S47	17137	IFNG	10	IFNG_10	5106360
COVID_BasalStim_Human1334_D12_S48	16565	IFNG	10	IFNG_10	2705240
COVID_BasalStim_Human1334_E01_S49	18591	IL4	0.1	IL4_0.1	5411910
COVID_BasalStim_Human1334_E02_S50	18746	IL4	0.1	IL4_0.1	6015972
COVID_BasalStim_Human1334_E03_S51	17904	IL4	0.1	IL4_0.1	4766624
COVID_BasalStim_Human1334_E04_S52	17191	IL4	1	IL4_1	3233833
COVID_BasalStim_Human1334_E05_S53	18041	IL4	1	IL4_1	4770141
COVID_BasalStim_Human1334_E06_S54	18057	IL4	1	IL4_1	5008234
COVID_BasalStim_Human1334_E07_S55	18610	IL4	5	IL4_5	5813696
COVID_BasalStim_Human1334_E08_S56	18079	IL4	5	IL4_5	4962383
COVID_BasalStim_Human1334_E09_S57	18713	IL4	5	IL4_5	6149254
COVID_BasalStim_Human1334_E10_S58	17778	IL4	10	IL4_10	4060659
COVID_BasalStim_Human1334_E11_S59	17316	IL4	10	IL4_10	3484930
COVID_BasalStim_Human1334_E12_S60	17386	IL4	10	IL4_10	8065707
COVID_BasalStim_Human1334_F01_S61	17662	IL17A	0.1	IL17A_0.1	3884673
COVID_BasalStim_Human1334_F02_S62	17210	IL17A	0.1	IL17A_0.1	3899751
COVID_BasalStim_Human1334_F03_S63	16104	IL17A	0.1	IL17A_0.1	2457400
COVID_BasalStim_Human1334_F04_S64	17196	IL17A	1	IL17A_1	3634622
COVID_BasalStim_Human1334_F05_S65	16927	IL17A	1	IL17A_1	2939141
COVID_BasalStim_Human1334_F06_S66	17789	IL17A	1	IL17A_1	8930506
COVID_BasalStim_Human1334_F07_S67	17690	IL17A	5	IL17A_5	5042640
COVID_BasalStim_Human1334_F08_S68	17382	IL17A	5	IL17A_5	6944459
COVID_BasalStim_Human1334_F09_S69	17720	IL17A	5	IL17A_5	4370406
COVID_BasalStim_Human1334_F10_S70	17385	IL17A	10	IL17A_10	3385003
COVID_BasalStim_Human1334_F11_S71	17252	IL17A	10	IL17A_10	3257697
COVID_BasalStim_Human1334_F12_S72	17293	IL17A	10	IL17A_10	3545322
COVID_BasalStim_Human1334_A01_S1	17346	Untreated	0	Untreated_0	3941957
COVID_BasalStim_Human1334_A02_S2	18569	Untreated	0	Untreated_0	5392331
COVID_BasalStim_Human1334_A03_S3	18925	Untreated	0	Untreated_0	5741129
COVID_BasalStim_Human1334_A04_S4	18627	Untreated	0	Untreated_0	6311422
COVID_BasalStim_Human1334_A05_S5	19057	Untreated	0	Untreated_0	7903956
COVID_BasalStim_Human1334_A06_S6	18807	Untreated	0	Untreated_0	7183832
COVID_BasalStim_Human1334_A07_S7	18062	Untreated	0	Untreated_0	5152899
COVID_BasalStim_Human1334_A08_S8	18902	Untreated	0	Untreated_0	8614668
COVID_BasalStim_Human1334_A09_S9	19494	Untreated	0	Untreated_0	7797393
